START	END
974428297	974428778
974428780	974431488
974431496	974432366
974432368	974433858
974433860	974438593
974438609	974439169
974439171	974439171
974439175	974442207
974442209	974443797
974443799	974444322
974444324	974444808
974444810	974444810
974444812	974447880
974447883	974449000
974449002	974450653
974450655	974451059
974451061	974521078
974521080	974528384
974528386	974533208
974533210	974536569
974536571	974537825
974537827	974541052
974541055	974559636
974559639	974569609
974569611	974569625
974569627	974569632
974569634	974569985
974569988	974569993
974569995	974569997
974569999	974570001
974570005	974570017
974570020	974570025
974570031	974570033
974570037	974570041
974570045	974570049
974570051	974570053
974570055	974570057
974570059	974570061
974570063	974570065
974570067	974570069
974570071	974570076
974570078	974570081
974570083	974570085
974570087	974570097
974570101	974570105
974570107	974570121
974570123	974570138
974570140	974570233
974570235	974570253
974570255	974570261
974570263	974570265
974570271	974570273
974570275	974570281
974570287	974570289
974570295	974570297
974570303	974570305
974570307	974570316
974570318	974570321
974570327	974570329
974570335	974570337
974570339	974570341
974570343	974570349
974570351	974570369
974570375	974570385
974570387	974570409
974570411	974570425
974570428	974570449
974570451	974570452
974570455	974570457
974570463	974570465
974570467	974570469
974570471	974570489
974570495	974576989
974576991	974578337
974578339	974599423
974599680	974601984
974601986	974610898
974610902	974620689
974620691	974625045
974625047	974641465
974641470	974642233
974642235	974651391
975889666	975889666
976239916	976239916
976265424	976265424
977011585	977011585
977011589	977011589
977084338	977084339
977403904	977414023
977414025	977419519
977420288	977425019
977425021	977434373
977434375	977446946
977446948	977447441
977447443	977447935
977448138	977448138
977448192	977448959
977448989	977448989
977449216	977461326
977461328	977463295
977465344	977465436
977465438	977467391
977469440	977502207
977504768	977505279
977507840	977508607
977508864	977534975
978452480	978477055
978478336	978478591
978479104	978489087
978489344	978493676
978493678	978493706
978493708	978494060
978494062	978494242
978494244	978494353
978494355	978495360
978495362	978495417
978495419	978496511
978496768	978497543
978497547	978502292
978502294	978504736
978504738	978504905
978504907	978509024
978509026	978525375
978525377	978525977
978525979	978546687
978550784	978555138
978555140	978583551
982515712	982581247
986929306	986929306
986938392	986938399
986938490	986938490
986939804	986939804
986940162	986940162
986940306	986940306
986945978	986945978
986948170	986948170
986953578	986953578
986953792	986953799
986965266	986965266
987071556	987071556
987617554	987617554
988807168	988808485
988808487	988816383
988816896	988817151
988817280	988822165
988822167	988825288
988825291	988825759
988825792	988826146
988826149	988830868
988830870	988830872
988830877	988831381
988831383	988831609
988831611	988835347
988835352	988838815
988838824	988839682
988839684	988840705
988840707	988849211
988849216	988868353
988868355	988894980
988894982	988906033
988906035	988906440
988906442	988907030
988907032	988907256
988907258	988907274
988907276	988907395
988907397	988918300
988918302	988918401
988918403	988921649
988921651	988921706
988921708	988926133
988926135	988928537
988928539	988929193
988929195	988930705
988930707	988934681
988934683	988945409
988945411	988953081
988953083	988953750
988953752	988955713
988955715	988957577
988957579	988960641
988960643	988965649
988965651	988972693
988972695	988975359
988975616	988979713
988979715	988979717
988979719	988979721
988979723	988979725
988979727	988979741
988979743	988979745
988979747	988979849
988979851	988979853
988979855	988979857
988979859	988981949
988981951	988985413
988985415	988989802
988989804	989000723
989000725	989000733
989000735	989001017
989001019	989001139
989001141	989077536
989077538	989082266
989082268	989086463
989086720	989087149
989087151	989087370
989087372	989091634
989091636	989091917
989091919	989092022
989092024	989099025
989099027	989099065
989099067	989099153
989099155	989099349
989099351	989113373
989113375	989113537
989113539	989113640
989113644	989113805
989113807	989113809
989113811	989113825
989113827	989113833
989113835	989113881
989113883	989113925
989113927	989113933
989113935	989113965
989113967	989114237
989114239	989117213
989117215	989117245
989117247	989128977
989128979	989129013
989129015	989129081
989129083	989129305
989129307	989129429
989129431	989129445
989129447	989129465
989129467	989134341
989134343	989134409
989134411	989134413
989134415	989140749
989140751	989149770
989149772	989199837
989199839	989200221
989200223	989214721
989214723	989248381
989248383	989253649
989253655	989262335
989264640	989267453
989267455	989297617
989297619	989324287
989325312	989331892
989331895	989331967
989332032	989337855
989338112	989339221
989339223	989343299
989343301	989385215
989385472	989386751
989387008	989411381
989411383	989540723
989540725	989541114
989541116	989542721
989542732	989542732
989542750	989542754
989542760	989542760
989542764	989542767
989542778	989542778
989542782	989542817
989542831	989543171
989543175	989543935
989544448	989596272
989596274	989597267
989597269	989597439
989597696	989598823
989598825	989602388
989602390	989605725
989605727	989611519
989611776	989612101
989612104	989612165
989612167	989623984
989623986	989637873
989637875	989638137
989638139	989647105
989647136	989656714
989656716	989680081
989680086	989680336
989680341	989680793
989680798	989712905
989712907	989712921
989712923	989714175
989714944	989715313
989715315	989732026
989732028	989748223
989748736	989759176
989759230	989775976
989775978	989784093
989784095	989787737
989787739	989796255
989796257	989799041
989799052	989831157
989831159	989854081
989854096	989854098
989854100	989854101
989854118	989855105
989855133	989855743
992027713	992027713
992039581	992039581
992049285	992049285
992083706	992083706
992083818	992083818
992322331	992322331
992355090	992355090
992374158	992374158
992547602	992547602
992561235	992561235
992749050	992749050
992770122	992770122
992808430	992808430
992812628	992812628
992824598	992824598
992878946	992878946
992882688	992883219
992883221	992884735
992899072	992900095
992914432	992914687
